Anzsic,Anzsic_description,Period,Data_value,Variable,Units,Gas,Status
ZPZ,Primary industries,2014Q1,12881,Actual,Kilotonnes,Carbon dioxide equivalents,P
ZPZ,Primary industries,2014Q2,9446,Actual,Kilotonnes,Carbon dioxide equivalents,P
ZPZ,Primary industries,2014Q3,10127,Actual,Kilotonnes,Carbon dioxide equivalents,P
ZPZ,Primary industries,2014Q4,12299,Actual,Kilotonnes,Carbon dioxide equivalents,P
ZPZ,Primary industries,2015Q1,12598,Actual,Kilotonnes,Carbon dioxide equivalents,P
ZPZ,Primary industries,2015Q2,9374,Actual,Kilotonnes,Carbon dioxide equivalents,P
ZPZ,Primary industries,2015Q3,10064,Actual,Kilotonnes,Carbon dioxide equivalents,P
ZPZ,Primary industries,2015Q4,12188,Actual,Kilotonnes,Carbon dioxide equivalents,P
ZPZ,Primary industries,2016Q1,12478,Actual,Kilotonnes,Carbon dioxide equivalents,P
ZPZ,Primary industries,2016Q2,9201,Actual,Kilotonnes,Carbon dioxide equivalents,P
ZPZ,Primary industries,2016Q3,9900,Actual,Kilotonnes,Carbon dioxide equivalents,P
ZPZ,Primary industries,2016Q4,11979,Actual,Kilotonnes,Carbon dioxide equivalents,P
ZPZ,Primary industries,2017Q1,12386,Actual,Kilotonnes,Carbon dioxide equivalents,P
ZPZ,Primary industries,2017Q2,9197,Actual,Kilotonnes,Carbon dioxide equivalents,P
ZPZ,Primary industries,2017Q3,9946,Actual,Kilotonnes,Carbon dioxide equivalents,P
ZPZ,Primary industries,2017Q4,12061,Actual,Kilotonnes,Carbon dioxide equivalents,P
ZPZ,Primary industries,2018Q1,12551,Actual,Kilotonnes,Carbon dioxide equivalents,P
ZPZ,Primary industries,2018Q2,9286,Actual,Kilotonnes,Carbon dioxide equivalents,P
ZPZ,Primary industries,2018Q3,9983,Actual,Kilotonnes,Carbon dioxide equivalents,P
ZPZ,Primary industries,2018Q4,12018,Actual,Kilotonnes,Carbon dioxide equivalents,P
ZPZ,Primary industries,2019Q1,13035,Actual,Kilotonnes,Carbon dioxide equivalents,P
ZPZ,Primary industries,2019Q2,9533,Actual,Kilotonnes,Carbon dioxide equivalents,P
ZPZ,Primary industries,2019Q3,9720,Actual,Kilotonnes,Carbon dioxide equivalents,P
ZPZ,Primary industries,2019Q4,11949,Actual,Kilotonnes,Carbon dioxide equivalents,P
ZPZ,Primary industries,2020Q1,12949,Actual,Kilotonnes,Carbon dioxide equivalents,P
ZPZ,Primary industries,2020Q2,9319,Actual,Kilotonnes,Carbon dioxide equivalents,P
ZPZ,Primary industries,2020Q3,9713,Actual,Kilotonnes,Carbon dioxide equivalents,P
ZPZ,Primary industries,2020Q4,11977,Actual,Kilotonnes,Carbon dioxide equivalents,P
ZPZ,Primary industries,2021Q1,12920,Actual,Kilotonnes,Carbon dioxide equivalents,P
ZPZ,Primary industries,2021Q2,9469,Actual,Kilotonnes,Carbon dioxide equivalents,P
ZPZ,Primary industries,2021Q3,9653,Actual,Kilotonnes,Carbon dioxide equivalents,P
ZPZ,Primary industries,2021Q4,11979,Actual,Kilotonnes,Carbon dioxide equivalents,P
ZPZ,Primary industries,2022Q1,12788,Actual,Kilotonnes,Carbon dioxide equivalents,P
ZPZ,Primary industries,2022Q2,9332,Actual,Kilotonnes,Carbon dioxide equivalents,P
ZPZ,Primary industries,2022Q3,9605,Actual,Kilotonnes,Carbon dioxide equivalents,P
AAZ,"Agriculture, forestry, fishing",2014Q1,12474,Actual,Kilotonnes,Carbon dioxide equivalents,P
AAZ,"Agriculture, forestry, fishing",2014Q2,9048,Actual,Kilotonnes,Carbon dioxide equivalents,P
AAZ,"Agriculture, forestry, fishing",2014Q3,9719,Actual,Kilotonnes,Carbon dioxide equivalents,P
AAZ,"Agriculture, forestry, fishing",2014Q4,11919,Actual,Kilotonnes,Carbon dioxide equivalents,P
